timestamp,open,high,low,close,volume
1782767100000,4020.18,4021.17,4020.18,4021.00,58.452
1782767400000,4021.00,4023.00,4021.00,4022.99,410.974
1782767700000,4022.98,4023.00,4022.55,4022.98,62.361
1782768000000,4022.98,4024.00,4022.01,4022.11,344.594
1782768300000,4022.11,4022.14,4021.59,4022.00,46.407
1782768600000,4021.99,4022.83,4021.99,4022.73,150.706
1782768900000,4022.73,4024.00,4022.73,4024.00,69.392
1782769200000,4024.00,4026.00,4023.88,4024.74,166.812
1782769500000,4024.73,4024.74,4024.68,4024.73,51.198
1782769800000,4024.69,4024.73,4024.43,4024.44,38.612
1782770100000,4024.44,4024.81,4022.50,4024.04,138.432
1782770400000,4024.03,4024.85,4021.00,4021.63,616.663
1782770700000,4021.63,4024.18,4019.71,4023.92,556.236
1782771000000,4023.93,4025.29,4021.21,4021.54,420.481
1782771300000,4021.54,4022.99,4021.13,4022.86,436.598
1782771600000,4022.86,4023.25,4020.80,4020.80,270.788
1782771900000,4020.80,4020.81,4018.27,4018.76,271.155
1782772200000,4018.75,4018.75,4016.50,4016.59,270.014
1782772500000,4016.60,4017.13,4015.50,4015.51,185.041
1782772800000,4015.50,4017.29,4013.60,4013.60,564.167
1782773100000,4013.61,4016.61,4012.44,4016.44,465.597
1782773400000,4016.46,4018.88,4016.01,4017.93,574.909
1782773700000,4017.94,4019.36,4015.56,4017.04,586.232
1782774000000,4017.10,4021.24,4017.10,4020.79,500.070
1782774300000,4020.80,4024.45,4020.79,4022.50,358.523
1782774600000,4022.50,4023.99,4022.50,4023.49,259.094
1782774900000,4023.49,4024.87,4023.20,4023.80,203.680
1782775200000,4023.79,4023.79,4020.94,4021.17,653.583
1782775500000,4021.18,4021.18,4018.82,4019.50,335.207
1782775800000,4019.51,4024.47,4018.25,4021.81,526.795
1782776100000,4021.82,4022.56,4021.20,4021.69,230.780
1782776400000,4021.68,4021.68,4016.80,4018.22,517.832
1782776700000,4018.23,4020.23,4016.81,4019.69,453.916
1782777000000,4019.71,4020.99,4018.02,4018.71,160.592
1782777300000,4018.71,4018.71,4017.22,4017.81,230.060
1782777600000,4017.80,4018.12,4011.01,4011.78,1158.209
1782777900000,4011.82,4011.82,4006.73,4007.80,1635.467
1782778200000,4007.65,4016.17,4007.65,4013.10,2562.051
1782778500000,4013.04,4013.79,4007.42,4008.20,648.585
1782778800000,4008.20,4011.82,4008.20,4010.74,364.730
1782779100000,4010.73,4011.00,4007.21,4008.85,334.974
1782779400000,4008.85,4009.26,4003.41,4004.44,1063.991
1782779700000,4004.59,4004.98,3998.36,3999.30,3435.941
1782780000000,3999.24,4001.39,3994.25,3995.16,1512.433
1782780300000,3995.17,3997.49,3994.00,3996.18,1071.320
1782780600000,3996.27,3997.46,3994.03,3995.30,750.703
1782780900000,3995.20,3995.25,3982.39,3990.56,4627.597
1782781200000,3990.56,3990.79,3979.52,3983.09,4574.599
1782781500000,3982.97,3983.42,3948.18,3967.21,21916.893
1782781800000,3967.23,3972.50,3958.66,3961.84,4513.494
1782782100000,3961.84,3974.00,3952.91,3973.50,16855.200
1782782400000,3973.55,3977.77,3969.24,3973.24,2786.839
1782782700000,3973.24,3983.47,3971.44,3981.78,1943.841
1782783000000,3981.78,3982.50,3977.26,3978.69,1381.151
1782783300000,3978.69,3979.75,3973.01,3973.73,1456.050
1782783600000,3973.74,3975.56,3969.23,3971.88,1813.835
1782783900000,3971.94,3976.24,3964.82,3965.45,1934.238
1782784200000,3965.45,3969.52,3964.82,3966.97,1195.054
1782784500000,3966.98,3972.79,3965.55,3972.26,1216.188
1782784800000,3972.25,3975.98,3969.70,3973.11,1312.501
1782785100000,3973.11,3973.95,3961.91,3962.71,1614.858
1782785400000,3962.63,3962.72,3955.10,3960.63,4289.584
1782785700000,3960.63,3964.90,3958.65,3963.85,853.322
1782786000000,3963.85,3966.66,3958.67,3966.23,1172.337
1782786300000,3966.23,3968.00,3963.32,3965.04,992.618
1782786600000,3965.04,3965.99,3959.62,3961.42,1020.773
1782786900000,3961.43,3966.08,3957.72,3965.87,1076.648
1782787200000,3965.86,3966.90,3960.37,3962.66,689.157
1782787500000,3962.66,3967.63,3962.35,3966.87,692.909
1782787800000,3966.88,3974.43,3966.55,3969.55,1469.073
1782788100000,3969.47,3970.39,3962.63,3965.79,1124.546
1782788400000,3965.80,3972.39,3965.59,3970.94,1125.224
1782788700000,3970.94,3971.73,3968.31,3969.96,682.946
1782789000000,3969.96,3972.29,3968.63,3969.26,694.873
1782789300000,3969.24,3973.64,3969.01,3972.58,691.633
1782789600000,3972.59,3973.59,3967.80,3968.52,836.756
1782789900000,3968.62,3970.43,3966.42,3968.58,1232.898
1782790200000,3968.54,3969.56,3963.42,3964.32,813.374
1782790500000,3964.32,3968.26,3964.00,3967.35,305.244
1782790800000,3967.34,3967.78,3965.78,3966.26,695.136
1782791100000,3966.26,3970.84,3966.25,3970.79,320.888
1782791400000,3970.79,3972.41,3969.72,3969.72,675.900
1782791700000,3969.70,3973.45,3968.97,3972.08,520.493
1782792000000,3972.02,3977.30,3971.88,3974.49,855.801
1782792300000,3974.49,3974.49,3971.13,3971.99,602.012
1782792600000,3971.99,3976.00,3971.30,3975.66,681.810
1782792900000,3975.66,3977.88,3975.10,3977.70,554.855
1782793200000,3977.73,3980.35,3977.58,3979.96,683.312
1782793500000,3980.00,3985.30,3980.00,3984.69,3113.678
1782793800000,3984.69,3998.33,3984.55,3997.99,4209.255
1782794100000,3998.14,3999.76,3994.95,3995.07,2286.515
1782794400000,3995.07,3995.07,3989.93,3991.01,1706.639
1782794700000,3991.01,3991.98,3986.36,3991.78,1422.254
1782795000000,3991.77,3993.28,3990.61,3990.67,874.755
1782795300000,3990.66,3991.18,3987.93,3987.94,495.501
1782795600000,3987.93,3990.67,3986.62,3990.40,859.807
1782795900000,3990.41,3992.97,3988.51,3990.32,782.002
1782796200000,3990.33,3990.79,3986.78,3987.63,368.122
1782796500000,3987.56,3987.90,3983.50,3983.50,884.843
1782796800000,3983.51,3987.80,3981.63,3987.40,754.783
1782797100000,3987.40,3989.85,3982.55,3985.38,737.729
1782797400000,3985.39,3985.62,3979.15,3980.17,1417.413
1782797700000,3980.16,3985.19,3978.25,3984.61,814.900
1782798000000,3984.62,3988.20,3982.32,3982.32,1299.183
1782798300000,3982.32,3984.39,3980.87,3982.51,560.840
1782798600000,3982.51,3984.35,3979.16,3983.67,516.650
1782798900000,3983.67,3984.00,3980.12,3980.76,372.066
1782799200000,3980.77,3989.00,3980.77,3987.44,785.368
1782799500000,3987.34,3992.17,3987.00,3989.93,736.292
1782799800000,3989.93,3990.83,3988.24,3990.62,391.205
1782800100000,3990.61,3991.18,3986.86,3989.45,596.902
1782800400000,3989.45,4005.59,3988.79,4002.43,2707.518
1782800700000,4002.43,4016.56,3999.44,4015.90,9333.251
1782801000000,4015.90,4034.50,4015.03,4033.45,16727.991
1782801300000,4033.56,4037.41,4024.26,4024.80,4931.173
1782801600000,4024.80,4030.99,4024.49,4027.58,2249.660
1782801900000,4027.58,4036.00,4026.55,4034.92,2874.089
1782802200000,4034.92,4034.92,4029.54,4030.22,1668.240
1782802500000,4030.23,4034.45,4029.32,4032.28,1098.437
1782802800000,4032.21,4032.34,4027.52,4029.52,1825.821
1782803100000,4029.53,4032.50,4027.00,4030.49,1070.186
1782803400000,4030.49,4030.49,4026.13,4027.84,996.351
1782803700000,4027.86,4032.99,4027.76,4031.49,754.515
1782804000000,4031.49,4034.50,4029.27,4033.33,1268.029
1782804300000,4033.33,4037.72,4030.80,4030.80,1486.478
1782804600000,4030.81,4034.49,4028.06,4033.88,979.198
1782804900000,4033.87,4034.54,4030.00,4032.78,909.377
1782805200000,4032.65,4033.05,4030.41,4031.00,448.184
1782805500000,4031.00,4033.12,4029.29,4030.56,641.162
1782805800000,4030.56,4032.57,4028.12,4032.27,517.534
1782806100000,4032.28,4035.22,4031.77,4034.58,667.005
1782806400000,4034.58,4038.93,4033.98,4037.97,2025.654
1782806700000,4038.03,4040.00,4029.18,4030.20,1438.124
1782807000000,4030.20,4030.60,4024.05,4026.79,1658.474
1782807300000,4026.78,4026.79,4023.20,4024.51,1388.317
1782807600000,4024.50,4027.89,4022.62,4023.49,1024.419
1782807900000,4023.48,4028.58,4022.84,4028.41,1227.627
1782808200000,4028.40,4029.11,4025.61,4025.61,585.363
1782808500000,4025.60,4025.73,4021.43,4021.89,1071.985
1782808800000,4021.88,4021.98,4018.00,4019.97,1546.893
1782809100000,4019.99,4021.99,4019.10,4020.63,951.600
1782809400000,4020.72,4021.79,4016.58,4019.10,1311.175
1782809700000,4019.11,4019.84,4017.25,4018.40,659.905
1782810000000,4018.44,4022.18,4017.83,4022.18,701.661
1782810300000,4022.18,4024.48,4021.97,4022.05,555.797
1782810600000,4022.00,4022.78,4020.02,4021.10,520.937
1782810900000,4021.10,4021.68,4019.79,4020.66,314.024
1782811200000,4020.66,4024.83,4020.62,4021.35,801.054
