timestamp,open,high,low,close,volume
1782780600000,59828.40,59920.80,59739.60,59839.80,748.869
1782780900000,59839.80,59853.70,59795.60,59806.10,280.897
1782781200000,59806.10,59841.00,59753.10,59829.90,451.873
1782781500000,59829.80,59831.10,59740.00,59763.60,404.649
1782781800000,59763.60,59827.20,59756.90,59797.80,325.429
1782782100000,59797.80,59969.60,59779.20,59945.10,545.026
1782782400000,59945.20,59963.30,59887.00,59909.90,308.357
1782782700000,59910.00,60023.90,59900.00,60010.20,502.211
1782783000000,60010.20,60024.90,59957.30,59963.50,322.600
1782783300000,59963.60,59979.60,59795.10,59843.00,774.522
1782783600000,59843.10,59850.00,59759.80,59804.00,440.829
1782783900000,59804.00,59890.00,59801.20,59890.00,251.554
1782784200000,59890.00,59895.00,59856.00,59884.20,171.333
1782784500000,59884.30,59922.20,59879.50,59919.60,183.923
1782784800000,59919.60,59928.00,59843.10,59849.40,230.927
1782785100000,59849.40,59892.10,59847.00,59888.50,180.137
1782785400000,59888.40,59888.40,59740.10,59761.20,509.273
1782785700000,59761.30,59787.40,59719.60,59787.30,448.275
1782786000000,59787.40,59895.00,59787.30,59895.00,242.516
1782786300000,59895.00,59968.00,59894.90,59947.20,204.896
1782786600000,59947.30,59949.00,59892.00,59945.10,233.471
1782786900000,59945.00,60001.00,59935.20,59987.90,308.506
1782787200000,59987.90,60004.30,59983.50,59985.60,241.232
1782787500000,59985.50,60020.00,59985.20,60017.50,244.752
1782787800000,60017.50,60021.40,59995.40,60005.50,242.068
1782788100000,60005.40,60005.50,59907.40,59920.40,384.157
1782788400000,59920.40,59959.70,59912.70,59918.60,313.964
1782788700000,59918.70,59950.00,59832.10,59885.50,385.358
1782789000000,59885.60,59921.50,59864.90,59877.80,210.085
1782789300000,59877.80,60007.90,59866.20,59988.80,346.756
1782789600000,59988.90,60002.30,59802.10,59802.30,247.622
1782789900000,59802.30,59855.40,59791.30,59832.90,241.055
