timestamp,buy_sell_ratio,buy_vol,sell_vol
1782969000000,0.7986,7034.4200,8808.2300
1782969300000,1.5382,4381.7000,2848.6100
1782969600000,0.5813,3393.6800,5838.0200
1782969900000,0.9994,2539.3600,2540.7900
1782970200000,0.7221,7402.9700,10252.4900
1782970500000,0.3324,6157.7700,18522.5400
1782970800000,0.9797,11833.3800,12078.8200
1782971100000,2.2133,15812.0300,7143.9800
1782971400000,1.5101,11135.0300,7373.7500
1782971700000,4.3545,22137.3000,5083.7400
1782972000000,0.5030,4415.0400,8777.1600
1782972300000,0.5988,7852.4700,13114.3300
1782972600000,0.5050,5437.8400,10767.9600
1782972900000,0.7067,15426.9800,21828.5700
1782973200000,0.6930,12025.5400,17353.9900
1782973500000,0.7757,5190.2100,6691.2900
1782973800000,2.1563,10574.2600,4903.9200
1782974100000,1.6737,7467.3200,4461.6300
1782974400000,2.0675,10949.9700,5296.2400
1782974700000,0.6129,17390.6100,28376.1800
1782975000000,0.8231,12810.4200,15563.3600
1782975300000,1.2642,9063.7200,7169.2500
1782975600000,0.4995,18383.1800,36804.8700
1782975900000,1.2499,13446.8800,10758.2100
1782976200000,0.7037,8101.0600,11511.6700
1782976500000,0.9810,7689.8200,7839.1500
1782976800000,0.8534,4541.4000,5321.5900
1782977100000,1.6613,15933.5800,9591.0800
1782977400000,1.2661,9690.8600,7654.3600
1782977700000,1.6537,15626.5600,9449.2100
1782978000000,0.9177,16811.1200,18319.6000
1782978300000,0.9699,23343.6200,24068.4100
1782978600000,2.6179,27576.5100,10533.6900
1782978900000,1.1676,7290.5000,6243.9500
1782979200000,1.1877,19932.5500,16782.9500
1782979500000,1.9879,71401.7400,35917.4000
1782979800000,0.4179,4574.4500,10945.6000
1782980100000,0.7034,6161.5600,8760.0700
1782980400000,1.6926,7016.8800,4145.5400
1782980700000,0.7589,6145.7500,8098.5800
1782981000000,1.1493,14899.4000,12963.6400
1782981300000,1.4376,15944.3500,11090.9300
1782981600000,0.8043,13344.6100,16592.2800
1782981900000,1.1468,10588.3900,9233.1300
1782982200000,0.6900,3650.7500,5290.5600
1782982500000,1.8576,9266.6900,4988.4500
1782982800000,0.6618,13888.2100,20986.4800
1782983100000,0.6434,8633.1600,13419.0200
1782983400000,0.6683,8495.5300,12711.5800
1782983700000,0.4487,5392.0600,12017.5700
1782984000000,1.2450,12830.4600,10305.8400
1782984300000,1.6161,20310.2500,12567.2100
1782984600000,1.6866,64158.7400,38039.6400
1782984900000,1.4072,164341.0300,116782.8100
1782985200000,1.7933,127603.3900,71154.9700
1782985500000,1.3684,134949.7300,98615.2000
1782985800000,1.5968,50504.7300,31628.9300
1782986100000,1.0365,63547.5800,61309.6200
1782986400000,1.4452,37970.1200,26273.8500
1782986700000,1.6725,22222.0900,13286.8400
1782987000000,2.0104,69525.5800,34582.7600
1782987300000,1.0990,25226.2200,22953.9300
1782987600000,2.7790,119880.9300,43138.3100
1782987900000,0.8049,45042.9300,55962.6200
1782988200000,2.7731,66709.8900,24055.6700
1782988500000,1.1904,29317.3000,24627.2500
1782988800000,0.5132,25259.8700,49216.4200
1782989100000,1.3639,30328.7800,22236.4300
1782989400000,0.6099,20842.9600,34175.9700
1782989700000,0.9748,34934.2200,35838.0600
1782990000000,0.4491,20568.8000,45801.9100
1782990300000,1.0002,12670.0800,12667.7800
1782990600000,1.4108,46484.1800,32948.6600
1782990900000,0.3759,6540.5400,17400.6500
1782991200000,1.1511,28455.9500,24720.4500
1782991500000,0.3595,9582.6100,26655.3300
1782991800000,0.8749,20849.3500,23830.1900
1782992100000,0.8058,9763.2000,12116.3500
1782992400000,0.5335,14432.3500,27053.1400
1782992700000,0.4934,7169.5200,14530.7400
1782993000000,0.5767,9210.6000,15970.6700
1782993300000,1.4014,43000.9400,30684.7600
1782993600000,0.4312,12513.1700,29022.4700
1782993900000,1.5603,16939.6300,10856.9500
1782994200000,2.1451,52471.7000,24461.6100
1782994500000,0.4925,30881.4200,62700.3500
1782994800000,0.4294,11612.4600,27043.5600
1782995100000,0.8392,37483.6500,44665.8200
1782995400000,1.2759,217565.4200,170521.5900
1782995700000,0.8012,34904.3400,43563.4700
1782996000000,0.5203,22079.5300,42434.8300
1782996300000,1.4984,55561.1800,37079.9600
1782996600000,1.2568,42138.4400,33527.6800
1782996900000,1.0757,40252.9700,37420.7500
1782997200000,1.4010,62465.2100,44587.0100
1782997500000,1.0780,31713.2300,29419.5500
1782997800000,0.7376,32731.9600,44376.7500
1782998100000,1.2574,67480.9000,53666.0300
1782998400000,1.0717,75521.1700,70465.8100
1782998700000,1.3673,199866.2700,146180.2400
1782999000000,1.2519,221820.7800,177184.2100
1782999300000,0.9233,202217.2400,219026.0300
1782999600000,0.8810,109339.4700,124108.1300
1782999900000,0.9305,72711.8700,78145.1000
1783000200000,0.7748,42174.7800,54434.4500
1783000500000,1.4492,39774.8700,27445.7100
1783000800000,1.3020,121103.0500,93012.9400
1783001100000,1.0711,71244.0500,66513.0300
1783001400000,1.1838,95922.9600,81032.4500
1783001700000,1.1515,94609.8500,82160.0800
1783002000000,0.6775,72064.2700,106367.0600
1783002300000,0.5226,59683.3500,114214.5700
1783002600000,0.7844,48100.8800,61319.7500
1783002900000,0.5532,47572.2000,85999.3100
1783003200000,0.8199,50757.0700,61903.0400
1783003500000,1.2605,70814.2600,56180.5200
1783003800000,0.7742,49063.9000,63373.3400
1783004100000,0.9397,36294.3500,38622.4300
1783004400000,0.5920,18101.5600,30576.8000
1783004700000,0.6532,28184.8800,43146.7300
1783005000000,1.8248,28124.0300,15412.2600
1783005300000,1.1553,44083.7600,38158.9400
1783005600000,0.9837,23592.2800,23983.9900
1783005900000,1.0191,29443.0200,28892.0100
1783006200000,1.0957,22503.7500,20538.6800
1783006500000,0.9646,27359.1400,28364.2700
1783006800000,1.3281,24756.3900,18641.1000
1783007100000,0.5069,14828.8300,29251.5900
1783007400000,0.8401,19650.3600,23391.2100
1783007700000,0.7769,13920.8800,17917.8100
1783008000000,0.7206,23985.6600,33284.3000
1783008300000,0.8060,10932.5100,13563.1000
1783008600000,0.8758,25368.5000,28966.2900
1783008900000,0.5623,22342.5200,39732.8200
1783009200000,0.9218,22808.6900,24744.3900
1783009500000,0.5837,59204.9400,101423.6500
1783009800000,2.5481,36087.2800,14162.2600
1783010100000,1.4079,16490.8400,11712.9300
1783010400000,1.2354,18394.7400,14889.6300
1783010700000,2.1237,33268.6400,15665.2800
1783011000000,0.7540,13807.4300,18311.6800
1783011300000,0.5757,10462.4100,18172.2200
1783011600000,1.5489,19411.6100,12532.7400
1783011900000,1.3243,15852.6100,11970.4800
1783012200000,2.5394,16527.9700,6508.5600
1783012500000,2.3783,18363.1700,7721.0000
1783012800000,1.0801,21911.3200,20287.0800
1783013100000,1.4727,16218.9900,11013.3000
1783013400000,2.4904,95695.1700,38425.5800
1783013700000,0.4645,44239.2600,95234.5000
1783014000000,0.7842,14412.5800,18379.0800
1783014300000,1.2658,19917.0700,15734.8900
1783014600000,1.3823,13770.5100,9961.8400
1783014900000,0.6619,7348.6100,11102.7500
1783015200000,0.4185,12671.5300,30278.9100
1783015500000,1.6942,21197.7500,12511.7300
1783015800000,0.9890,17059.4900,17248.8500
1783016100000,0.4042,11652.0700,28828.8300
1783016400000,1.1157,10157.3800,9104.1000
1783016700000,0.6382,5506.1900,8628.2500
1783017000000,0.5009,9897.9100,19760.8600
1783017300000,0.9438,14347.6600,15201.5300
1783017600000,0.6620,5155.2100,7787.7700
