timestamp,buy_sell_ratio,buy_vol,sell_vol
1782969000000,1.1779,22557.1300,19150.0000
1782969300000,0.6258,8059.5600,12878.2500
1782969600000,0.7034,11003.4800,15643.2600
1782969900000,0.6348,17808.8000,28056.0000
1782970200000,0.6723,19463.0200,28947.8200
1782970500000,0.6597,29065.2600,44060.9100
1782970800000,0.6566,39668.4100,60415.9900
1782971100000,0.8813,26685.7200,30278.8000
1782971400000,1.2015,28905.0700,24058.2200
1782971700000,0.9797,9846.2000,10050.1700
1782972000000,0.3970,20160.3500,50780.2900
1782972300000,0.6012,47456.2000,78935.7700
1782972600000,1.0201,39383.2700,38608.6700
1782972900000,1.3733,43201.9600,31457.8000
1782973200000,1.1810,42406.7000,35907.2200
1782973500000,0.6208,17678.3400,28477.0300
1782973800000,1.1968,57450.1800,48004.3200
1782974100000,0.4638,12607.5200,27183.7400
1782974400000,0.8355,24180.7000,28941.1600
1782974700000,0.2894,35774.6500,123620.6000
1782975000000,0.6739,42458.0500,62999.5900
1782975300000,2.3257,40800.2200,17542.8400
1782975600000,0.7927,41178.1700,51948.7300
1782975900000,1.1037,44481.4400,40302.3600
1782976200000,0.7296,18381.8400,25195.7800
1782976500000,0.4656,48826.0100,104867.8600
1782976800000,0.9668,16126.9900,16680.3200
1782977100000,0.5529,10149.6900,18357.0400
1782977400000,1.6878,34887.0600,20670.5700
1782977700000,0.6988,21498.8400,30767.3900
1782978000000,1.6938,71478.6600,42199.3900
1782978300000,0.8790,39301.9900,44709.6400
1782978600000,0.7474,18709.3800,25031.0800
1782978900000,1.1998,21319.7600,17769.9800
1782979200000,1.0411,20905.7800,20081.0300
1782979500000,1.8404,80238.1100,43598.9700
1782979800000,0.5427,28476.3600,52475.9000
1782980100000,1.1579,19382.5100,16739.0900
1782980400000,0.5726,14655.2800,25594.8300
1782980700000,1.0398,17144.1100,16488.2600
1782981000000,1.0116,38883.4300,38437.5600
1782981300000,1.0839,35323.9800,32588.3200
1782981600000,1.1717,15452.9300,13188.2300
1782981900000,1.2889,22423.8400,17397.7200
1782982200000,1.3216,10886.4800,8237.0500
1782982500000,0.6885,15024.1400,21822.9200
1782982800000,1.1467,36439.8800,31777.1000
1782983100000,1.0026,39158.6700,39055.5300
1782983400000,1.6639,59065.5300,35498.7700
1782983700000,0.8516,22217.4600,26087.8500
1782984000000,2.1157,55536.0200,26248.9700
1782984300000,2.1531,73347.8300,34066.1200
1782984600000,2.2556,447347.6400,198331.7800
1782984900000,1.7635,276044.3900,156532.3100
1782985200000,1.1330,187452.5000,165449.2200
1782985500000,1.1038,97971.2200,88760.2200
1782985800000,1.4141,119712.8700,84659.3200
1782986100000,1.1162,93965.5800,84181.2800
1782986400000,1.3370,48131.3900,36000.7800
1782986700000,1.2880,85553.9900,66426.0000
1782987000000,0.8838,28406.6200,32139.7700
1782987300000,1.0066,64427.0800,64004.5100
1782987600000,1.8441,539209.2400,292398.5800
1782987900000,1.7285,296186.1100,171351.3900
1782988200000,1.3624,167017.1900,122594.1100
1782988500000,1.4371,314598.1900,218915.7000
1782988800000,1.5209,387287.1100,254641.4600
1782989100000,1.3295,350059.1500,263310.5700
1782989400000,1.5140,398058.6900,262911.9100
1782989700000,1.4543,339791.7900,233653.9200
1782990000000,0.5964,126838.3400,212675.3200
1782990300000,1.3180,125373.2700,95127.3600
1782990600000,1.5613,481323.2000,308281.3100
1782990900000,1.1593,132274.7800,114099.2600
1782991200000,1.4297,271093.3300,189619.9300
1782991500000,1.0941,233120.7300,213077.2000
1782991800000,1.3130,155172.1600,118179.1100
1782992100000,1.3243,109694.7000,82830.3700
1782992400000,0.8065,73201.6100,90765.4200
